productName,min,max
Apples,31,366
Apricots,7,21
Artichokes Jerusalem,122,153
Asparagus,14,21
Beans dry,183,305
Beans green or snap,7,10
Beans sprouts,7,9
Beans. Lima,5,7
Beets bunched,10,14
Beets topped,122,183
Broccoli,10,14
Brussels Sprouts,21,35
Cabbage Chinese,61,92
Cabbage early,21,42
Cabbage late,153,183
Carrots bunched,14,14
Carrots immature,28,42
Carrots mature,7,9
Cauliflower,21,28
Celery,61,92
Celeriac,183,244
Chard,10,14
Cherries sour,3,7
Cherries sweet,14,21
Chicory witloof,14,28
Collards,10,14
Corn sweet,5,8
Cucumbers,10,14
Currants,7,28
Eggplant,7,7
Elderberries,7,14
Endive,14,21
Escarole,14,21
Garlic,6,7
Gooseberries,21,28
Grapes,14,56
Greens leafy,10,12
Horseradish,305,366
Jicama,31,61
Kale,14,21
Kohlrabi,61,92
Leeks,61,92
Lettuce,14,21
Mushrooms,3,4
Nectarines,14,28
Okra,7,10
Parsley,61,92
Parsnips,122,183
Peaches,14,28
Pears,61,214
Peas green,7,14
Peas southern,6,8
Peppers hot chili,183,183
Peppers sweet,14,21
Plums,14,35
Prunes,14,35
Pumpkins,61,92
Quinces,61,92
Radishes spring,21,28
Radishes winter,61,122
Raspberries,,
Rhubarb,14,28
Rutabagas,122,183
Salsify,61,122
Spinach,10,14
Squashes summer,7,14
Squashes winter,31,183
Strawberries,3,7
Sweet Potatoes,122,214
Tomatoes mature green,7,21
Turnip greens,10,14
Turnips,122,153
Watercress,14,21
Pylos Olivenöl,13,14
Barilla Spaghetti n.5,40,300